modelo,variante,accuracy,precision_macro,recall_macro,f1_macro
Baseline (classe mais comum),baseline,0.4631,0.1544,0.3333,0.211
Logistic Regression,default,0.4147,0.3912,0.4028,0.3717
Random Forest,default,0.4157,0.3851,0.3978,0.3805
Naïve Bayes,default,0.433,0.3965,0.3984,0.344
KNN,default,0.457,0.3905,0.379,0.3535
Logistic Regression,tuned,0.4167,0.3922,0.4034,0.3733
Random Forest,tuned,0.4157,0.3857,0.3993,0.3812
Naïve Bayes,tuned,0.433,0.3965,0.3984,0.344
KNN,tuned,0.4692,0.3911,0.389,0.3527
