team_id,name,short_name,state,stadium_name,stadium_capacity,latitude,longitude
226,Inter De Limeira,,,,,,
227,Sportivo Luqueno,,,,,,
228,Sportivo Ameliano,,,,,,
229,U. Catolica,,,,,,
230,Palestino,,,,,,
231,Universitario de Vinto,,,,,,
232,Nacional Potosí,,,,,,
233,ADT,,,,,,
234,Cienciano,,,,,,
235,Union Espanola,,,,,,
236,Everton de Vina,,,,,,
237,Racing Montevideo,,,,,,
238,Wanderers,,,,,,
239,Puerto Cabello,,,,,,
240,Metropolitanos FC,,,,,,
241,Aurora,,,,,,
242,Gualberto Villarroel SJ,,,,,,
243,Once Caldas,,,,,,
244,Millonarios,,,,,,
245,Mushuc Runa SC,,,,,,
246,Orense SC,,,,,,
247,Club Guarani,,,,,,
248,2 de Mayo,,,,,,
249,Cerro Largo,,,,,,
250,Danubio,,,,,,
251,Junior,,,,,,
252,America de Cali,,,,,,
253,Atletico Grau,,,,,,
254,Cusco,,,,,,
255,Deportivo La Guaira,,,,,,
256,Caracas FC,,,,,,
257,Universidad Catolica,,,,,,
258,Aucas,,,,,,
259,Union Santa Fe,,,,,,
260,Deportes Iquique,,,,,,
261,Boston River,,,,,,
262,Independiente,,,,,,
263,Huracan,,,,,,
264,FBC Melgar,,,,,,
265,Godoy Cruz,,,,,,
266,Lanus,,,,,,
267,Defensa Y Justicia,,,,,,
268,Central Cordoba de Santiago,,,,,,
269,Independiente del Valle,,,,,,
270,Bolívar,,,,,,
271,Alianza Lima,,,,,,
272,San Antonio Bulo Bulo,,,,,,
273,Universidad de Chile,,,,,,
274,Bucaramanga,,,,,,
275,Atletico Torque,,TO,Estadio Charrúa,60235,,
276,Defensor Sporting,,,,,,
277,Independiente Petrolero,,,,,,
278,Guabirá,,,,,,
279,Cobresal,,,,,,
280,A. Italiano,,,,,,
281,Monagas SC,,,,,,
282,Alianza Atletico,,,,,,
283,Deportivo Garcilaso,,,,,,
284,Blooming,,,,,,
285,Atletico Nacional,,,,,,
286,Sportivo Trinidense,,,,,,
287,Olimpia,,,,,,
288,Deportivo Cuenca,,Azuay,Alejandro Serrano Aguilar,16,,
289,Libertad,,,,,,
290,Nacional Asuncion,,,,,,
291,Deportivo Recoleta,,,,,,
292,Macara,,,,,,
293,Barracas Central,,,,,,
294,Racing Club,,,,,,
295,O'Higgins,,,,,,
296,Tigre,,,,,,
297,Deportivo Riestra,,,,,,
298,San Lorenzo,,,,,,
299,River Plate,,,,,,
300,Juventud,,,,,,
301,Carabobo FC,,,,,,
302,The Strongest,,,,,,
303,Deportivo Tachira FC,,,,,,
304,Huachipato,,,,,,
305,Sporting Cristal,,,,,,
306,Liverpool Montevideo,,,,,,
307,Independiente Medellin,,,,,,
308,Barcelona SC,,,,,,
309,Argentinos JRS,,,,,,
310,Deportes Tolima,,,,,,
311,Independ. Rivadavia,,,,,,
313,Always Ready,,,,,,
314,LDU de Quito,,,,,,
315,Boca Juniors,,,,,,
316,Universitario,,,,,,
317,Coquimbo Unido,,,,,,
318,Club Nacional,,,,,,
319,Estudiantes L.P.,,,,,,
320,Cerro Porteno,,,,,,
321,Rosario Central,,,,,,
